id;name;image;title;url;logo_url
1;Black Jack;Game Image;Game Title;https://orie.biz;invoice reboot Creative
2;Black Jack;Game Image;Game Title;http://pinkie.org;streamline
3;Match 3;Game Image;Game Title;http://price.biz;user-facing
4;Match 3;Game Image;Game Title;http://gwendolyn.com;Pennsylvania Utah Sausages
5;Soccer;Game Image;Game Title;https://jettie.net;Designer Niue even-keeled
6;Soccer;Game Image;Game Title;https://rylan.org;Lock sensor
7;Slot;Game Image;Game Title;https://jeanie.org;bypass Shoes Rapids
8;Slot;Game Image;Game Title;https://kaia.name;Borders Paradigm synergies
9;Black Jack;Game Image;Game Title;http://abigail.name;Investor
10;Match 3;Game Image;Game Title;https://nolan.org;circuit Networked matrix
